<<<<<<< HEAD
point	title	description	icon
10,20	my orange title	my orange description	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
2,4	my aqua title	my aqua description	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
42,-71	my purple title	my purple description<br/>is great	http://www.myiconfinder.com/uploads/iconsets/256-256-a5485b563efc4511e0cd8bd04ad0fe9e.png
=======
lat	lon	title	description	iconOffset
51.4727286	-0.1779688	point number 1	point number 1	-10,-25
51.4737286	-0.1779688	point number 2	point number 2	-10,-25
51.4747286	-0.1779688	point number 3	point number 3	-10,-25
51.4757286	-0.1779688	point number 4	point number 4	-10,-25
51.4767286	-0.1779688	point number 5	point number 5	-10,-25
51.4777286	-0.1779688	point number 6	point number 6	-10,-25
51.4787286	-0.1779688	point number 7	point number 7	-10,-25
51.4797286	-0.1779688	point number 8	point number 8	-10,-25
51.4807286	-0.1779688	point number 9	point number 9	-10,-25
51.4817286	-0.1779688	point number 10	point number 10	-10,-25
51.4827286	-0.1779688	point number 11	point number 11	-10,-25
51.4837286	-0.1779688	point number 12	point number 12	-10,-25
51.4847286	-0.1779688	point number 13	point number 13	-10,-25
51.4857286	-0.1779688	point number 14	point number 14	-10,-25
51.4867286	-0.1779688	point number 15	point number 15	-10,-25
51.4877286	-0.1779688	point number 16	point number 16	-10,-25
51.4887286	-0.1779688	point number 17	point number 17	-10,-25
51.4897286	-0.1779688	point number 18	point number 18	-10,-25
51.4907286	-0.1779688	point number 19	point number 19	-10,-25
51.4917286	-0.1779688	point number 20	point number 20	-10,-25
51.4927286	-0.1779688	point number 21	point number 21	-10,-25
51.4937286	-0.1779688	point number 22	point number 22	-10,-25
51.4947286	-0.1779688	point number 23	point number 23	-10,-25
51.4957286	-0.1779688	point number 24	point number 24	-10,-25
51.4967286	-0.1779688	point number 25	point number 25	-10,-25
51.4977286	-0.1779688	point number 26	point number 26	-10,-25
51.4987286	-0.1779688	point number 27	point number 27	-10,-25
51.4997286	-0.1779688	point number 28	point number 28	-10,-25
51.5007286	-0.1779688	point number 29	point number 29	-10,-25
51.5017286	-0.1779688	point number 30	point number 30	-10,-25
51.5027286	-0.1779688	point number 31	point number 31	-10,-25
51.5037286	-0.1779688	point number 32	point number 32	-10,-25
51.5047286	-0.1779688	point number 33	point number 33	-10,-25
51.5057286	-0.1779688	point number 34	point number 34	-10,-25
51.5067286	-0.1779688	point number 35	point number 35	-10,-25
51.5077286	-0.1779688	point number 36	point number 36	-10,-25
51.5087286	-0.1779688	point number 37	point number 37	-10,-25
51.5097286	-0.1779688	point number 38	point number 38	-10,-25
51.5107286	-0.1779688	point number 39	point number 39	-10,-25
51.5117286	-0.1779688	point number 40	point number 40	-10,-25
51.5127286	-0.1779688	point number 41	point number 41	-10,-25
51.5137286	-0.1779688	point number 42	point number 42	-10,-25
51.5147286	-0.1779688	point number 43	point number 43	-10,-25
51.5157286	-0.1779688	point number 44	point number 44	-10,-25
51.5167286	-0.1779688	point number 45	point number 45	-10,-25
51.5177286	-0.1779688	point number 46	point number 46	-10,-25
51.5187286	-0.1779688	point number 47	point number 47	-10,-25
51.5197286	-0.1779688	point number 48	point number 48	-10,-25
51.5207286	-0.1779688	point number 49	point number 49	-10,-25
51.5217286	-0.1779688	point number 50	point number 50	-10,-25
51.5227286	-0.1779688	point number 51	point number 51	-10,-25
51.5237286	-0.1779688	point number 52	point number 52	-10,-25
51.5247286	-0.1779688	point number 53	point number 53	-10,-25
51.5257286	-0.1779688	point number 54	point number 54	-10,-25
51.5267286	-0.1779688	point number 55	point number 55	-10,-25
51.5277286	-0.1779688	point number 56	point number 56	-10,-25
51.5287286	-0.1779688	point number 57	point number 57	-10,-25
51.5297286	-0.1779688	point number 58	point number 58	-10,-25
51.5307286	-0.1779688	point number 59	point number 59	-10,-25
51.5317286	-0.1779688	point number 60	point number 60	-10,-25
51.5327286	-0.1779688	point number 61	point number 61	-10,-25
51.5337286	-0.1779688	point number 62	point number 62	-10,-25
51.5347286	-0.1779688	point number 63	point number 63	-10,-25
51.5357286	-0.1779688	point number 64	point number 64	-10,-25
51.5367286	-0.1779688	point number 65	point number 65	-10,-25
51.5377286	-0.1779688	point number 66	point number 66	-10,-25
51.5387286	-0.1779688	point number 67	point number 67	-10,-25
51.5397286	-0.1779688	point number 68	point number 68	-10,-25
51.5407286	-0.1779688	point number 69	point number 69	-10,-25
51.5417286	-0.1779688	point number 70	point number 70	-10,-25
51.4727286	-0.1764688	point number 71	point number 71	-10,-25
51.4737286	-0.1764688	point number 72	point number 72	-10,-25
51.4747286	-0.1764688	point number 73	point number 73	-10,-25
51.4757286	-0.1764688	point number 74	point number 74	-10,-25
51.4767286	-0.1764688	point number 75	point number 75	-10,-25
51.4777286	-0.1764688	point number 76	point number 76	-10,-25
51.4787286	-0.1764688	point number 77	point number 77	-10,-25
51.4797286	-0.1764688	point number 78	point number 78	-10,-25
51.4807286	-0.1764688	point number 79	point number 79	-10,-25
51.4817286	-0.1764688	point number 80	point number 80	-10,-25
51.4827286	-0.1764688	point number 81	point number 81	-10,-25
51.4837286	-0.1764688	point number 82	point number 82	-10,-25
51.4847286	-0.1764688	point number 83	point number 83	-10,-25
51.4857286	-0.1764688	point number 84	point number 84	-10,-25
51.4867286	-0.1764688	point number 85	point number 85	-10,-25
51.4877286	-0.1764688	point number 86	point number 86	-10,-25
51.4887286	-0.1764688	point number 87	point number 87	-10,-25
51.4897286	-0.1764688	point number 88	point number 88	-10,-25
51.4907286	-0.1764688	point number 89	point number 89	-10,-25
51.4917286	-0.1764688	point number 90	point number 90	-10,-25
51.4927286	-0.1764688	point number 91	point number 91	-10,-25
51.4937286	-0.1764688	point number 92	point number 92	-10,-25
51.4947286	-0.1764688	point number 93	point number 93	-10,-25
51.4957286	-0.1764688	point number 94	point number 94	-10,-25
51.4967286	-0.1764688	point number 95	point number 95	-10,-25
51.4977286	-0.1764688	point number 96	point number 96	-10,-25
51.4987286	-0.1764688	point number 97	point number 97	-10,-25
51.4997286	-0.1764688	point number 98	point number 98	-10,-25
51.5007286	-0.1764688	point number 99	point number 99	-10,-25
51.5017286	-0.1764688	point number 100	point number 100	-10,-25
51.5027286	-0.1764688	point number 101	point number 101	-10,-25
51.5037286	-0.1764688	point number 102	point number 102	-10,-25
51.5047286	-0.1764688	point number 103	point number 103	-10,-25
51.5057286	-0.1764688	point number 104	point number 104	-10,-25
51.5067286	-0.1764688	point number 105	point number 105	-10,-25
51.5077286	-0.1764688	point number 106	point number 106	-10,-25
51.5087286	-0.1764688	point number 107	point number 107	-10,-25
51.5097286	-0.1764688	point number 108	point number 108	-10,-25
51.5107286	-0.1764688	point number 109	point number 109	-10,-25
51.5117286	-0.1764688	point number 110	point number 110	-10,-25
51.5127286	-0.1764688	point number 111	point number 111	-10,-25
51.5137286	-0.1764688	point number 112	point number 112	-10,-25
51.5147286	-0.1764688	point number 113	point number 113	-10,-25
51.5157286	-0.1764688	point number 114	point number 114	-10,-25
51.5167286	-0.1764688	point number 115	point number 115	-10,-25
51.5177286	-0.1764688	point number 116	point number 116	-10,-25
51.5187286	-0.1764688	point number 117	point number 117	-10,-25
51.5197286	-0.1764688	point number 118	point number 118	-10,-25
51.5207286	-0.1764688	point number 119	point number 119	-10,-25
51.5217286	-0.1764688	point number 120	point number 120	-10,-25
51.5227286	-0.1764688	point number 121	point number 121	-10,-25
51.5237286	-0.1764688	point number 122	point number 122	-10,-25
51.5247286	-0.1764688	point number 123	point number 123	-10,-25
51.5257286	-0.1764688	point number 124	point number 124	-10,-25
51.5267286	-0.1764688	point number 125	point number 125	-10,-25
51.5277286	-0.1764688	point number 126	point number 126	-10,-25
51.5287286	-0.1764688	point number 127	point number 127	-10,-25
51.5297286	-0.1764688	point number 128	point number 128	-10,-25
51.5307286	-0.1764688	point number 129	point number 129	-10,-25
51.5317286	-0.1764688	point number 130	point number 130	-10,-25
51.5327286	-0.1764688	point number 131	point number 131	-10,-25
51.5337286	-0.1764688	point number 132	point number 132	-10,-25
51.5347286	-0.1764688	point number 133	point number 133	-10,-25
51.5357286	-0.1764688	point number 134	point number 134	-10,-25
51.5367286	-0.1764688	point number 135	point number 135	-10,-25
51.5377286	-0.1764688	point number 136	point number 136	-10,-25
51.5387286	-0.1764688	point number 137	point number 137	-10,-25
51.5397286	-0.1764688	point number 138	point number 138	-10,-25
51.5407286	-0.1764688	point number 139	point number 139	-10,-25
